State Name,State Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Karnataka,KA,0.1,0.8615384615384616,1.6230769230769233,2.384615384615385,3.1461538461538465,3.907692307692308,4.6692307692307695,5.430769230769231,6.1923076923076925,6.953846153846154,7.7153846153846155,8.476923076923077,9.23846153846154,10.0,47.732915365852634,71.10019626746718,60.9662302165621,21.110053567467332,28.751308702136242,40.82682778153422,55.91089818314174,73.72258207194291,83.21391346349927,20.363273076780146
Kerala,KL,0.1,0.8615384615384616,1.6230769230769233,2.384615384615385,3.1461538461538465,3.907692307692308,4.6692307692307695,5.430769230769231,6.1923076923076925,6.953846153846154,7.7153846153846155,8.476923076923077,9.23846153846154,10.0,42.899252884374846,89.01661959432093,68.25461472743855,20.924775206375692,22.52631514002008,38.57584152421001,67.99841622389958,10.697657162507017,37.94499803230093,33.812157183994756
Madhya Pradesh,MP,0.1,0.8615384615384616,1.6230769230769233,2.384615384615385,3.1461538461538465,3.907692307692308,4.6692307692307695,5.430769230769231,6.1923076923076925,6.953846153846154,7.7153846153846155,8.476923076923077,9.23846153846154,10.0,76.80296840428453,44.01472296191126,48.9804078043576,36.17862543402215,44.188967124643305,51.64542035779867,34.9029799885604,28.68062101929679,40.49757783836705,73.4230766529166
Maharashtra,MH,0.1,0.8615384615384616,1.6230769230769233,2.384615384615385,3.1461538461538465,3.907692307692308,4.6692307692307695,5.430769230769231,6.1923076923076925,6.953846153846154,7.7153846153846155,8.476923076923077,9.23846153846154,10.0,36.01026785303519,30.474306744300755,87.07268361029536,33.84448879745782,59.756771447078584,63.846221042581035,64.30556410857588,24.125817714946507,84.41931821334278,11.459152989895669
Manipur,MN,0.1,0.8615384615384616,1.6230769230769233,2.384615384615385,3.1461538461538465,3.907692307692308,4.6692307692307695,5.430769230769231,6.1923076923076925,6.953846153846154,7.7153846153846155,8.476923076923077,9.23846153846154,10.0,43.546103671026295,57.45810067246693,82.18835155529322,83.60738863330567,88.73955820675909,18.547824430433515,76.2238300994882,25.4076394710972,60.46331615189341,41.716426255227354
Meghalaya,ML,0.1,0.8615384615384616,1.6230769230769233,2.384615384615385,3.1461538461538465,3.907692307692308,4.6692307692307695,5.430769230769231,6.1923076923076925,6.953846153846154,7.7153846153846155,8.476923076923077,9.23846153846154,10.0,89.28930401000622,63.109264253836194,27.31936830261164,86.1706052256722,24.759569149401663,18.507055356013336,21.63057876955775,21.23032919577109,14.416655708191719,42.530685503353205
Mizoram,MZ,0.1,0.8615384615384616,1.6230769230769233,2.384615384615385,3.1461538461538465,3.907692307692308,4.6692307692307695,5.430769230769231,6.1923076923076925,6.953846153846154,7.7153846153846155,8.476923076923077,9.23846153846154,10.0,72.45509631869604,32.862885930676114,69.51638717785674,67.58248983180422,59.366853250175275,30.08142086401337,49.71564478114417,57.427029872690895,56.008175397622395,63.85946665500971
Nagaland,NL,0.1,0.8615384615384616,1.6230769230769233,2.384615384615385,3.1461538461538465,3.907692307692308,4.6692307692307695,5.430769230769231,6.1923076923076925,6.953846153846154,7.7153846153846155,8.476923076923077,9.23846153846154,10.0,51.02597048189335,88.02708004547675,47.62209248491133,79.06741658806241,70.29282093758616,33.14967379457159,79.93800647530406,75.11742698626641,26.29360096446284,28.108582210986963
Odisha,OR,0.1,0.8615384615384616,1.6230769230769233,2.384615384615385,3.1461538461538465,3.907692307692308,4.6692307692307695,5.430769230769231,6.1923076923076925,6.953846153846154,7.7153846153846155,8.476923076923077,9.23846153846154,10.0,59.3367769371664,65.15607759792329,19.10044874792745,13.625512745912953,67.10180753857391,64.96038697206832,10.936656280342714,70.65652370747914,24.311892037549843,33.319913519481936
Punjab,PB,0.1,0.8615384615384616,1.6230769230769233,2.384615384615385,3.1461538461538465,3.907692307692308,4.6692307692307695,5.430769230769231,6.1923076923076925,6.953846153846154,7.7153846153846155,8.476923076923077,9.23846153846154,10.0,43.0375613493156,53.89108399681686,73.59654789825107,57.28172595003352,70.88766060653612,27.273550573409313,86.67947575275579,87.19734923036027,56.90430597295857,32.66850400039439
Rajasthan,RJ,0.1,0.8615384615384616,1.6230769230769233,2.384615384615385,3.1461538461538465,3.907692307692308,4.6692307692307695,5.430769230769231,6.1923076923076925,6.953846153846154,7.7153846153846155,8.476923076923077,9.23846153846154,10.0,47.80908277175123,52.39980783183825,82.53280514774016,23.569344433826068,80.62674333236447,79.98791960041927,51.04344468294107,22.024313583892344,14.576425815293002,34.148559254947315
Sikkim,SK,0.1,0.8615384615384616,1.6230769230769233,2.384615384615385,3.1461538461538465,3.907692307692308,4.6692307692307695,5.430769230769231,6.1923076923076925,6.953846153846154,7.7153846153846155,8.476923076923077,9.23846153846154,10.0,49.918116671633854,12.135182619666844,77.46712785103183,37.57359603974085,68.99943164102109,54.793749532845354,59.22055393170297,85.24052209091738,82.99115210430216,45.614390923314254
Tamil Nadu,TN,0.1,0.8615384615384616,1.6230769230769233,2.384615384615385,3.1461538461538465,3.907692307692308,4.6692307692307695,5.430769230769231,6.1923076923076925,6.953846153846154,7.7153846153846155,8.476923076923077,9.23846153846154,10.0,34.12688603882848,41.36342217238696,58.25007768369454,80.6163779269181,74.2697957762736,23.663585440929964,49.10954719127641,68.92166854859265,72.01237131452478,51.50290429962347
Telangana,TG,0.1,0.8615384615384616,1.6230769230769233,2.384615384615385,3.1461538461538465,3.907692307692308,4.6692307692307695,5.430769230769231,6.1923076923076925,6.953846153846154,7.7153846153846155,8.476923076923077,9.23846153846154,10.0,64.30560133087374,18.677557930305113,47.60164793546666,84.35765900502557,33.79460920579139,74.70534463354673,65.50830037845485,63.61333466794832,80.22919733208064,60.03068155259656
Tripura,TR,0.1,0.8615384615384616,1.6230769230769233,2.384615384615385,3.1461538461538465,3.907692307692308,4.6692307692307695,5.430769230769231,6.1923076923076925,6.953846153846154,7.7153846153846155,8.476923076923077,9.23846153846154,10.0,19.19093972292222,59.33358016745096,60.30059292367891,33.777144347747345,13.1254789589702,24.941161585430926,12.666478705043085,80.17182495053389,75.86407633102411,76.06597902647908
Uttar Pradesh,UP,0.1,0.8615384615384616,1.6230769230769233,2.384615384615385,3.1461538461538465,3.907692307692308,4.6692307692307695,5.430769230769231,6.1923076923076925,6.953846153846154,7.7153846153846155,8.476923076923077,9.23846153846154,10.0,30.228485648179834,54.42870243426492,68.86151415377185,85.63549949913535,18.14384381863026,31.550535396717905,13.747380326304777,29.46279549407068,36.94956273931801,13.438961189985692
Uttarakhand,UK,0.1,0.8615384615384616,1.6230769230769233,2.384615384615385,3.1461538461538465,3.907692307692308,4.6692307692307695,5.430769230769231,6.1923076923076925,6.953846153846154,7.7153846153846155,8.476923076923077,9.23846153846154,10.0,52.7892310725396,73.34782939077645,37.441195128451426,82.74043350131487,25.04502820109126,12.454850158405142,15.97587007974652,81.75050959171303,78.61278756264936,86.59904817811808
West Bengal,WB,0.1,0.8615384615384616,1.6230769230769233,2.384615384615385,3.1461538461538465,3.907692307692308,4.6692307692307695,5.430769230769231,6.1923076923076925,6.953846153846154,7.7153846153846155,8.476923076923077,9.23846153846154,10.0,71.24473782072427,88.53649713566742,32.20828263892221,74.81191647976932,72.74809388164456,59.660180918620824,60.631706893389754,63.70342286215367,53.449313483845096,46.380319663687345
